name,domain,website_url,careers_url,sequoia_jobs_url,sequoia_portfolio_url,linkedin_url,twitter_url,github_url,facebook_url,instagram_url,youtube_url,all_social_links,ats_platform,total_jobs,num_remote_jobs,logo_url,linkedin_logo_url,industries,markets,office_locations,stages,staff_count,email_domains,investors,founded,crunchbase_url,org_type,description,slug,id
Agrostar,agrostar.in,https://agrostar.in,https://jobs.sequoiacap.com/companies/agrostar-2,https://jobs.sequoiacap.com/companies/agrostar-2,https://www.sequoiacap.com/companies/agrostar-2/,https://www.linkedin.com/company/6634893,https://twitter.com/agrostar_in,,https://facebook.com/agrostar.india,,,https://www.linkedin.com/company/6634893 | https://twitter.com/agrostar_in | https://facebook.com/agrostar.india,,0,0,,,"AgTech, Agriculture, Internet, Software Development",,"Vadgaon, Maharashtra, India, Pune, Maharashtra, India",series_unknown,2221,,,2013,https://crunchbase.com/organization/agrostar,private,"Founded in 2013, AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin. AgroStar’s omnichannel platform provides end-to-end solutions for Indian farmers, helping them grow better, enabling them to increase their yield and reduce their cost of cultivation. Our solutions are powered by an extensive amount of data and agronomy knowledge. Our omnichannel approach has further enhanced our reach to cover millions of farmers in the country. AgroStar currently operates in the states of Gujarat, Maharashtra, Rajasthan, Madhya Pradesh, and Uttar Pradesh. Farmers in these states can avail of agri solutions for the entire crop life-cycle with a simple call to our Agri Advisory Center, through the AgroStar Agri Doctor app, and by visiting an AgroStar retail store.",agrostar-2,250660
Airbyte,airbyte.com,https://airbyte.com,https://jobs.sequoiacap.com/companies/airbyte,https://jobs.sequoiacap.com/companies/airbyte,https://www.sequoiacap.com/companies/airbyte/,https://www.linkedin.com/company/64265083,https://twitter.com/airbytehq,,https://facebook.com/airbytehq,,,https://www.linkedin.com/company/64265083 | https://twitter.com/airbytehq | https://facebook.com/airbytehq,,0,0,,,"Analytics, Data Integration, Generative AI, Open Source, Productivity Tools, Software Development",,"San Francisco, CA, USA",series_b,126,,,2020,https://crunchbase.com/organization/airbyte-b3bb,private,"Airbyte is an open-source data integration platform that syncs data from applications, APIs, and databases to warehouses. Their platform automates data pipelines with pre-built or custom connectors, enabling businesses to gather data analytics from all users, including those who use ad-blocking tools.",airbyte,63374
Airkit,airkit.com,https://airkit.com,https://jobs.sequoiacap.com/companies/airkit-2,https://jobs.sequoiacap.com/companies/airkit-2,https://www.sequoiacap.com/companies/airkit-2/,https://www.linkedin.com/company/28601613,https://twitter.com/airkitcx,,https://facebook.com/airkitcx,instagram.com/airkitcx,,https://www.linkedin.com/company/28601613 | https://twitter.com/airkitcx | https://facebook.com/airkitcx | instagram.com/airkitcx,,0,0,,,"Brand Marketing, Information Technology, Insurance, Productivity Tools, Software",,"Palo Alto, CA, USA, Redwood Shores, Redwood City, CA, USA, Redwood City, CA, USA, London, UK",acquisition,4,,,2017,https://www.crunchbase.com/organization/airkit-7f75,private,"Airkit.ai is a customer engagement platform that enables brands to build digital customer experiences faster. Airkit allows customers to abstract away frontend development with prebuilt components and templates for web, mobile, voice, and chat. They can also create brand components and asset libraries while flowing customer data across core systems and Airkit-powered experiences via APIs and integrations.  Airkit can measure and optimize experiences with built-in app analytics and reporting on user engagement, and the platform provides debugging and tooling to help ship apps. It enables developers to test operations and data flows in a staging environment with app tracing, which allows them to preview an app in different resolutions and device frames.",airkit-2,11585
Airmeet,airmeet.com,https://airmeet.com,https://jobs.sequoiacap.com/companies/airmeet,https://jobs.sequoiacap.com/companies/airmeet,https://www.sequoiacap.com/companies/airmeet/,https://www.linkedin.com/company/airmeetcom,https://twitter.com/airmeet,,,,,https://www.linkedin.com/company/airmeetcom | https://twitter.com/airmeet,,0,0,,,"Communities, Event Management, Events, Marketing, Social, Software Development",,"Covina, CA, USA, Walnut, CA, USA, Bangalore Urban, Karnataka, India, Lewes, DE, USA",series_b,122,,,2019,https://www.crunchbase.com/organization/airmeet,private,"Airmeet serves as an all-in-one virtual events platform for event organizers, marketers, community builders, and enterprises. With a core focus on creating the immersive and integrated virtual events platform for knowledge professionals, Airmeet’s scalable platform supports a variety of event formats including fairs, expos, meetups, workshops, summits, town halls, and more, virtually.",airmeet,59139
Akridata,akridata.ai,https://akridata.ai,https://jobs.sequoiacap.com/companies/akridata-2,https://jobs.sequoiacap.com/companies/akridata-2,https://www.sequoiacap.com/companies/akridata-2/,https://www.linkedin.com/company/18876977,https://twitter.com/akridata,,,,,https://www.linkedin.com/company/18876977 | https://twitter.com/akridata,,0,0,,,"Artificial Intelligence (AI), Computer, Software, Software Development",,"Bengaluru, Karnataka, India, Los Altos, CA, USA, San Francisco, CA, USA",acquisition,39,,,2018,https://crunchbase.com/organization/akridata,private,"Akridata is revolutionizing AI-powered visual inspection, enabling manufacturers to automate or assist human inspection with human-like judgment and machine-level precision. Our cutting-edge computer vision technology enhances quality control by detecting defects faster, more accurately, and at scale, ensuring higher efficiency and reduced errors across industrial and medical device manufacturing. With AI that sees, thinks, and inspects like an expert, Akridata helps businesses move from manual review to intelligent automation.",akridata-2,70139
Akto ,akto.io,https://akto.io,https://jobs.sequoiacap.com/companies/akto,https://jobs.sequoiacap.com/companies/akto,https://www.sequoiacap.com/companies/akto/,https://www.linkedin.com/company/79512143,https://twitter.com/aktodotio,,,,,https://www.linkedin.com/company/79512143 | https://twitter.com/aktodotio,,0,0,,,"Computer and Network Security, Information Technology, Network Security, Software",,"San Francisco, CA, USA",seed,20,,,2022,https://crunchbase.com/organization/akto-c09d,private,"Akto is a platform for securing APIs and assists in quickly discovering APIs, running tests, and identifying business logic weaknesses.",akto,904677
Algolia,algolia.com,https://algolia.com,https://jobs.sequoiacap.com/companies/algolia,https://jobs.sequoiacap.com/companies/algolia,https://www.sequoiacap.com/companies/algolia/,https://www.linkedin.com/company/2728700,https://twitter.com/algolia,,https://facebook.com/algolia,instagram.com/algolialife,,https://www.linkedin.com/company/2728700 | https://twitter.com/algolia | https://facebook.com/algolia | instagram.com/algolialife,,0,0,,,"Developer APIs, Developer Platform, Enterprise Software, SaaS, Search Engine, Software Development",,"Palo Alto, CA, USA, Paris, France, San Francisco, CA, USA, London, UK, Atlanta, GA, USA, New York, NY, USA",series_d,714,,,2012,https://crunchbase.com/organization/algolia,private,"Algolia is the search-as-a-service platform that enables companies of all sizes to deliver fast and relevant digital experiences that drive real results. With Algolia, consumers can easily find and discover what they want across the web, mobile, and voice. Algolia allows developers and business teams to build and optimize delightful search and discovery experiences that increase online engagement, conversion rates, and revenue.",algolia,5378
Ally.io (Acquired),ally.io,https://ally.io,https://jobs.sequoiacap.com/companies/ally-io-acquired-2,https://jobs.sequoiacap.com/companies/ally-io-acquired-2,https://www.sequoiacap.com/companies/ally-io-acquired-2/,https://www.linkedin.com/company/allyio,https://twitter.com/allydotio,,https://www.facebook.com/allydotio,,,https://www.linkedin.com/company/allyio | https://twitter.com/allydotio | https://www.facebook.com/allydotio,,0,0,,,"Data Integration, Enterprise Software, Human Resources, Management Information Systems, SaaS",,"University of Washington, Seattle, WA, USA, Bellevue, WA, USA, Seattle, WA, USA, Bel-Red, Bellevue, WA, USA",acquisition,130,,,2018,https://crunchbase.com/organization/ally-0b36,private,"Ally.io is a strategic goal-planning and execution management software helping businesses execute strategies and reach their goals.  It enables businesses to shift from traditional, disjointed planning and execution to a modern, OKR-based framework that drives strong alignment, agility, transparency, and empowers the workforce. The Ally.io solution makes it easy to adopt OKRs as a seamless part of the users' daily workflow. The platform has built-in OKR best practices and provides seamless integration to several enterprise systems including Slack, Salesforce, Jira, Smartsheet, Asana, and ZenDesk. Ally’s comprehensive professional services offer continuous support, dedicated training, and coaching to ensure best practices for implementation and successful change management.  Vetri Vellore launched the company in 2018 in Bellevue, Washington.",ally-io-acquired-2,31282
Altinity ,altinity.com,https://altinity.com,https://jobs.sequoiacap.com/companies/altinity-2,https://jobs.sequoiacap.com/companies/altinity-2,https://www.sequoiacap.com/companies/altinity-2/,https://www.linkedin.com/company/10955938,https://twitter.com/altinitydb,,https://facebook.com/altinitydb,,,https://www.linkedin.com/company/10955938 | https://twitter.com/altinitydb | https://facebook.com/altinitydb,,0,0,,,"Analytics, Big Data, Business Intelligence, Data Visualization, Database, Enterprise Software, Open Source, Software, Software Development",,"Berkeley, CA, USA",seed,51,,,2017,https://crunchbase.com/organization/altinity,private,"Altinity is the real-time data company that lets you run and manage databases anywhere. We enable developers to add real-time analytics to any application, regardless of where it runs, how much data it needs to answer questions, or how quickly the data arrives.",altinity-2,904679
Amagi,amagi.com,https://amagi.com,https://jobs.sequoiacap.com/companies/amagi,https://jobs.sequoiacap.com/companies/amagi,https://www.sequoiacap.com/companies/amagi/,https://www.linkedin.com/company/1125387,https://twitter.com/amagicorp,,https://facebook.com/amagimedia,instagram.com/amagicorporation,,https://www.linkedin.com/company/1125387 | https://twitter.com/amagicorp | https://facebook.com/amagimedia | instagram.com/amagicorporation,,0,0,,,"Advertising, B2B, Broadcasting, Media & Entertainment, TV",,"Pasay, Metro Manila, Philippines, Villepinte, France, Bengaluru, Karnataka, India, Santa Monica, CA, USA, London, UK, New York, NY, USA, Union Square, New York, NY, USA, New Delhi, Delhi, India",ipo,938,,,2008,https://crunchbase.com/organization/amagi-media-labs,public,"Amagi Media Labs is a media technology company that offers cloud-based solutions for broadcast and connected TV. The company facilitates the geographic targeting of TV advertisements. It is a unique mix of media and innovation that has made way for a new TV-media advertising platform. Amagi brings services that are cost-effective, powerful, focused, and result-oriented.  Headquartered in New York, Amagi was founded in 2008.",amagi,66555
