name,domain,website_url,careers_url,sequoia_jobs_url,sequoia_portfolio_url,linkedin_url,twitter_url,github_url,facebook_url,instagram_url,youtube_url,all_social_links,ats_platform,total_jobs,num_remote_jobs,logo_url,linkedin_logo_url,industries,markets,office_locations,stages,staff_count,email_domains,investors,founded,crunchbase_url,org_type,description,slug,id
AliveCor,alivecor.com,https://alivecor.com,https://jobs.sequoiacap.com/companies/alivecor,https://jobs.sequoiacap.com/companies/alivecor,https://www.sequoiacap.com/companies/alivecor/,https://www.linkedin.com/company/2381434,https://twitter.com/alivecor,,https://facebook.com/alivecor,instagram.com/alivecor,,https://www.linkedin.com/company/2381434 | https://twitter.com/alivecor | https://facebook.com/alivecor | instagram.com/alivecor,,0,0,,,"Health Care, Information Technology, Medical Device, Mobile, Software, Wellness and Fitness Services",,"Oklahoma City, OK, USA, Mountain View, CA, USA",series_f,163,,,2010,https://crunchbase.com/organization/alivecor,private,"AliveCor is an FDA-cleared mobile heart solution that helps save lives, save money, and brings healthcare into the 21st century.",alivecor,14737
All Day Kitchens,allday.com,https://allday.com,https://jobs.sequoiacap.com/companies/all-day-kitchens-2,https://jobs.sequoiacap.com/companies/all-day-kitchens-2,https://www.sequoiacap.com/companies/all-day-kitchens-2/,https://www.linkedin.com/company/3613659,https://twitter.com/alldaydotcom,,facebook.com/meetallday,instagram.com/alldaykitchens,,https://www.linkedin.com/company/3613659 | https://twitter.com/alldaydotcom | facebook.com/meetallday | instagram.com/alldaykitchens,,0,0,,,"Advertising, Advertising Services, Digital Media, Marketing, Social Media",,"Outpost Estates, Los Angeles, CA, USA, San Francisco, CA, USA, Los Angeles, CA, USA",seed,11,,,2013,https://www.crunchbase.com/organization/all-day-media,private,"All Day is building an editorial media brand and publishing technology for mobile-first Millennial audiences. The company leverages a network of owned and partner Social Media properties for content distribution and audience engagement, driving content sharing and virality. All Day’s network partners, writers, and editors manage posts, track analytics, and grow engagement through its CMS and Social distribution dashboard.  Today, All Day maintains and engages a growing audience on Social Media channels through owned and operated content brands with over 28 million followers, as well as a distribution network reaching over 200 million followers across Twitter, Facebook, and Instagram. Included among the company’s more popular social accounts are HistoryinPics and EarthPix on Twitter. Through these owned and partner accounts, All Day distributes highly visual and shareable editorial content, which is often featured on its destination site AllDay.com.",all-day-kitchens-2,56262
Alljoined,alljoined.com,https://alljoined.com,https://jobs.sequoiacap.com/companies/alljoined,https://jobs.sequoiacap.com/companies/alljoined,https://www.sequoiacap.com/companies/alljoined/,https://www.linkedin.com/company/105907474,,,,,,https://www.linkedin.com/company/105907474,,0,0,,,"Data Collection and Labeling, Machine Learning, Neuroscience",,"San Francisco, CA, USA",seed,7,,,2023,https://crunchbase.com/organization/alljoined,private,"Alljoined interprets neural signals from consumer-grade EEG devices to translate thoughts, emotions, and intended actions into digital commands. Its technology focuses on enhancing interaction between humans and machines by enabling intuitive control and communication without physical input devices or implants. Alljoined’s work supports applications across accessibility, gaming, wellness, and human-computer interaction research, contributing to the broader advancement of neural signal processing and cognitive technology integration.",alljoined,3166742
Alpine Oral Tech,alpineot.com,https://alpineot.com,https://jobs.sequoiacap.com/companies/alpine-oral-tech,https://jobs.sequoiacap.com/companies/alpine-oral-tech,https://www.sequoiacap.com/companies/alpine-oral-tech/,https://www.linkedin.com/company/freshhealth,,,,,,https://www.linkedin.com/company/freshhealth,,0,0,,,,,"Magalia, CA, USA, Mountain View, CA, USA, Villa Park, CA, USA",other,27,,,2017,https://crunchbase.com/organization/fresh-301a,private,"Developer of an oral care device designed to reduce gum diseases and infections. The company's device is a professional flossing system used to deep clean between teeth and below the gumline by positioning water flossing jets paired with minty and tingly power rinse, enabling patients to improve oral health and get fresh breath.",alpine-oral-tech,14738
AltaRock Energy,altarockenergy.com,https://altarockenergy.com,https://jobs.sequoiacap.com/companies/altarock-energy-2,https://jobs.sequoiacap.com/companies/altarock-energy-2,https://www.sequoiacap.com/companies/altarock-energy-2/,https://www.linkedin.com/company/5844779,https://twitter.com/altarock,,https://facebook.com/altarockenergy,,,https://www.linkedin.com/company/5844779 | https://twitter.com/altarock | https://facebook.com/altarockenergy,,0,0,,,"Cleantech, Energy, Geothermal Energy, Natural Resources, Renewable Energy Semiconductor Manufacturing",,"Seattle, WA, USA, University of Washington, Seattle, WA, USA",series_unknown,9,,,2007,https://crunchbase.com/organization/altarock-energy,private,"AltaRock Energy is a renewable energy development company focused on the research and development of Engineered Geothermal Systems (“EGS”). AltaRock has filed patent applications for a portfolio of patents in the EGS area and holds exclusive licenses for related intellectual property.  The company has its corporate headquarters in Sausalito, CA, and its technology development office in Seattle, WA. Its principals include Don O'Shei, Chief Executive Officer, and Susan Petty, President/Chief Technology Officer and an AltaRock Energy founder.",altarock-energy-2,66381
Amyris,amyris.com,https://amyris.com,https://jobs.sequoiacap.com/companies/amyris,https://jobs.sequoiacap.com/companies/amyris,https://www.sequoiacap.com/companies/amyris/,https://www.linkedin.com/company/74073228,https://twitter.com/amyris,,https://facebook.com/amyris.inc,,,https://www.linkedin.com/company/74073228 | https://twitter.com/amyris | https://facebook.com/amyris.inc,,0,0,,,"Biotechnology, Chemical, Cleantech, Renewable Energy",,"Leland, NC, USA, Emeryville, ON N0R, Canada, Emeryville, CA, USA, Brindisi, BR, Italy",other,792,,,2003,https://crunchbase.com/organization/amyris-biotechnologies,public,"Amyris Biotechnologies creates renewable products that focus on fuels and chemicals that provide no-compromise sustainable alternatives to a broad range of petroleum-sourced products. It uses an industrial synthetic biology platform that applies its innovative bioscience solutions to convert plant sugars into hydrocarbon molecules and produce specialty ingredients and consumer products. Its technology creates products that support biopharmaceutical drug discovery and production, from cosmetic emollients and fragrances to fuels, solvents, lubricants, and nutraceuticals.",amyris,105910
Anchorage Digital,anchorage.com,https://anchorage.com,https://jobs.sequoiacap.com/companies/anchorage-digital,https://jobs.sequoiacap.com/companies/anchorage-digital,https://www.sequoiacap.com/companies/anchorage-digital/,https://www.linkedin.com/company/7144084,https://x.com/anchorage,,https://facebook.com/anchoragedigital,,,https://www.linkedin.com/company/7144084 | https://x.com/anchorage | https://facebook.com/anchoragedigital,,0,0,,,"Blockchain, Cryptocurrency, Financial Services, Fintech, Software",,"San Francisco, CA, USA, Singapore, Porto, Portugal, Sioux Falls, SD, USA",other,482,,,2017,https://crunchbase.com/organization/anchorage,private,"Anchorage Digital is a regulated crypto platform that provides institutions with integrated financial services and infrastructure solutions. With the only federally chartered crypto bank in the US, as well as Anchorage Digital Singapore, which offers equivalent security and service standards, Anchorage Digital provides institutions an unparalleled combination of secure custody, regulatory compliance, product breadth, and client service.  Founded in 2017, Anchorage Digital is valued at over $3 billion with funding from leading institutions including Andreessen Horowitz, GIC—Singapore’s sovereign wealth fund, Goldman Sachs, KKR, and Visa. Headquartered in San Francisco, California, Anchorage Digital is remote-friendly with offices in New York, New York; Porto, Portugal; Singapore; and Sioux Falls, South Dakota. Learn more at anchorage.com, on Twitter @Anchorage, and on LinkedIn.",anchorage-digital,13831
Anrok,anrok.com,https://anrok.com,https://jobs.sequoiacap.com/companies/anrok,https://jobs.sequoiacap.com/companies/anrok,https://www.sequoiacap.com/companies/anrok/,https://www.linkedin.com/company/79326179,https://twitter.com/anrok,,,,,https://www.linkedin.com/company/79326179 | https://twitter.com/anrok,,0,0,,,"Compliance, Financial Services, SaaS, Software, Software Development, Tax Preparation",,"San Francisco, CA, USA",series_c,101,,,2020,https://crunchbase.com/organization/anrok,private,"Anrok provides a software platform for global sales tax and VAT compliance. It handles integration with billing, payment, and HR systems to monitor tax exposure, validate VAT IDs, automate sales tax calculations, manage registrations, and coordinate filing and remittance processes. The company supports real-time tax collection, tracking of physical and economic nexus, and consolidated compliance reporting across jurisdictions. It offers no-code and API-based connections to finance stacks, facilitating audit-ready transaction logs and jurisdictional coverage for digital services and goods.",anrok,66139
Apton Biosystems,aptonbio.com,https://aptonbio.com,https://jobs.sequoiacap.com/companies/apton-biosystems,https://jobs.sequoiacap.com/companies/apton-biosystems,https://www.sequoiacap.com/companies/apton-biosystems/,https://www.linkedin.com/company/73860571,,,,,,https://www.linkedin.com/company/73860571,,0,0,,,"Biotechnology, Biotechnology Research, Genetics, Health Care",,"Pleasanton, CA, USA",acquisition,14,,,2012,https://crunchbase.com/organization/apton-biosystems,private,"Apton Biosystems develops an optical system designed for sequencing and protein detection, using super-resolution to assess molecules spaced closer than a wavelength of light. It enables biomarker discovery, early disease detection, and therapeutic monitoring, advancing preventive health and precision medicine.",apton-biosystems,14739
Arevo,arevo.com,https://arevo.com,https://jobs.sequoiacap.com/companies/arevo-2,https://jobs.sequoiacap.com/companies/arevo-2,https://www.sequoiacap.com/companies/arevo-2/,https://www.linkedin.com/company/3617770,https://twitter.com/arevolabs,,https://www.facebook.com/arevolabs,,,https://www.linkedin.com/company/3617770 | https://twitter.com/arevolabs | https://www.facebook.com/arevolabs,,0,0,,,"3D Printing, Computer, Manufacturing, Robotics, Software, Software Development",,"Milpitas, CA, USA, Santa Clara, CA, USA",series_unknown,32,,,2013,https://crunchbase.com/organization/arevo-labs,private,"AREVO, based in Silicon Valley, California, develops technology to enable direct digital additive manufacturing of ultra-strong, lightweight composite parts for end-use applications in high volume.  With the company's unique combination of breakthrough materials, powerful design/build software, and free motion robotics for the first “true 3D” construction, AREVO is moving beyond prototypes by enabling the design and fabrication of large, mass-produced parts and structures, quickly leading 3D printing into mainstream manufacturing. AREVO provides designers and manufacturers with unprecedented freedom to unlock the unparalleled strength and weight of composite materials for a wide range of consumer and industrial products and has seen early success manufacturing CFRTP composite parts for OEM customers. With an initial focus on Aerospace, Defense, Consumer Electronics, Transportation, and Consumer Goods, AREVO is poised to optimize additive manufacturing services to OEMs worldwide.",arevo-2,31445
Arista Networks,arista.com,https://arista.com,https://jobs.sequoiacap.com/companies/arista-networks-2,https://jobs.sequoiacap.com/companies/arista-networks-2,https://www.sequoiacap.com/companies/arista-networks-2/,https://www.linkedin.com/company/80069,https://twitter.com/aristanetworks,,https://facebook.com/aristanw,,,https://www.linkedin.com/company/80069 | https://twitter.com/aristanetworks | https://facebook.com/aristanw,,0,0,,,"AI Infrastructure, Cloud Computing, Data Center Automation, Hardware, Information Technology, Software",,"Bengaluru, Karnataka, India, Santa Clara, CA, USA, Bayan Lepas, Penang, Malaysia, Pune, Maharashtra, India, Nashua, NH, USA, Cary, NC, USA, Shannon, Co. Clare, Ireland, Seongnam-si, Gyeonggi-do, South Korea, Burnaby, BC, Canada, San Francisco, CA, USA, Singapore, New York, NY, USA, Dublin, Ireland, Sydney NSW, Australia, Austin, TX, USA",other,4412,,,2004,https://crunchbase.com/organization/arista-networks,public,"Arista Networks is the leader in building scalable, high-performance, and ultra-low-latency networks for today's data center and cloud computing environments.",arista-networks-2,24966
Arpeggio,arpeggiobio.com,https://arpeggiobio.com,https://jobs.sequoiacap.com/companies/arpeggio-2,https://jobs.sequoiacap.com/companies/arpeggio-2,https://www.sequoiacap.com/companies/arpeggio-2/,https://www.linkedin.com/company/11472464,https://twitter.com/arpeggiobio,,,,,https://www.linkedin.com/company/11472464 | https://twitter.com/arpeggiobio,,0,0,,,"Biotechnology, Health Care, Machine Learning, Pharmaceutical, Therapeutics",,"Boulder, CO, USA",series_a,12,,,2017,https://crunchbase.com/organization/arpeggio-bio,private,"Arpeggio Biosciences leverages state-of-the-art sequencing approaches coupled with powerful machine learning to uncover novel insights into a compound's biological mechanism of action. The company is a diverse set of molecular biologists, computer scientists, and biotechnology enthusiasts passionate about understanding where, why, and how therapeutics work.",arpeggio-2,75513
Artrendex,artrendex.com,https://artrendex.com,https://jobs.sequoiacap.com/companies/artrendex-2-29ac4f94-1006-48df-9ba8-d18719b1e1de,https://jobs.sequoiacap.com/companies/artrendex-2-29ac4f94-1006-48df-9ba8-d18719b1e1de,https://www.sequoiacap.com/companies/artrendex-2-29ac4f94-1006-48df-9ba8-d18719b1e1de/,https://www.linkedin.com/company/playformart,https://twitter.com/artrendex,,https://facebook.com/playform.io,,,https://www.linkedin.com/company/playformart | https://twitter.com/artrendex | https://facebook.com/playform.io,,0,0,,,"Art, Artificial Intelligence (AI), Generative AI, Machine Learning, Software",,"Princeton, NJ, USA, East Windsor, NJ, USA, East Windsor, CT, USA",series_unknown,4,,,2018,https://crunchbase.com/organization/artrendex,private,"Artrendex provides unique and unprecedented solutions that help artists, galleries, and collectors worldwide achieve their aspirations.",artrendex-2-29ac4f94-1006-48df-9ba8-d18719b1e1de,1104138
Aslan,aslanprotects.com,https://aslanprotects.com,https://jobs.sequoiacap.com/companies/aslan-2-464433c2-43f8-4773-a679-95d1e1722acf,https://jobs.sequoiacap.com/companies/aslan-2-464433c2-43f8-4773-a679-95d1e1722acf,https://www.sequoiacap.com/companies/aslan-2-464433c2-43f8-4773-a679-95d1e1722acf/,https://www.linkedin.com/company/107396236,,,,,,https://www.linkedin.com/company/107396236,,0,0,,,"Artificial Intelligence (AI), Consulting, Information Technology",,,pre_seed,2,,,2025,https://crunchbase.com/organization/aslan-protects,private,"Insidious acts have been accelerated by an opaque digital terrain that mutates, multiplies, and scatters faster than humans alone can confront. Aslan brings the sight, scale, and speed national security needs to confront them.",aslan-2-464433c2-43f8-4773-a679-95d1e1722acf,3594499
Astrus,astrus.ai,https://astrus.ai,https://jobs.sequoiacap.com/companies/astrus,https://jobs.sequoiacap.com/companies/astrus,https://www.sequoiacap.com/companies/astrus/,https://www.linkedin.com/company/astrus-ai,,,,,,https://www.linkedin.com/company/astrus-ai,,0,0,,,"AI Infrastructure, Artificial Intelligence (AI), Semiconductor, Software",,"Toronto, ON, Canada, North York, Toronto, ON, Canada",seed,10,,,2023,https://crunchbase.com/organization/astrus,private,AI to automate microchip design.,astrus,109068
